image,name of stamp,price,day,month,year,class
https://postagestamps.gov.in/Images/Stamps2000/31-12-2000-2.jpg,PERSONALITY SERIES:HISTORICAL: SAMRAT PRITHVIRAJ CHAUHAN,3,31,12,2000,1
https://postagestamps.gov.in/Images/Stamps2000/31-12-2000-3.jpg,PERSONALITY SERIES:HISTORICAL: RAJA BHAMASHAH,3,31,12,2000,2
https://postagestamps.gov.in/Images/Stamps2000/31-12-2000-4.jpg,PERSONALITY SERIES:HISTORICAL: RAJARSHI BHAGYACHANDRA,3,31,12,2000,3
https://postagestamps.gov.in/Images/Stamps2000/31-12-2000-1.jpg,PERSONALITY SERIES:HISTORICAL: GENERAL ZORAWAR SINGH,3,31,12,2000,4
https://postagestamps.gov.in/Images/Stamps2000/28-12-2000.jpg,USTAD HAFIZ ALI KHAN,3,28,12,2000,5
https://postagestamps.gov.in/Images/Stamps2000/17-12-2000.jpg,MARITIME HERITAGE: KUNJALI MARAKKAR-400 YEARS,3,17,12,2000,6
https://postagestamps.gov.in/Images/Stamps2000/07-12-2000-1.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: ANCIENT INDIA",3,7,12,2000,7
https://postagestamps.gov.in/Images/Stamps2000/07-12-2000-2.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: TAXILA",3,7,12,2000,8
https://postagestamps.gov.in/Images/Stamps2000/07-12-2000-3.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: SARPECH",3,7,12,2000,9
https://postagestamps.gov.in/Images/Stamps2000/07-12-2000-4.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: NAVRATNA",3,7,12,2000,10
https://postagestamps.gov.in/Images/Stamps2000/07-12-2000-5.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: BRIDAL",3,7,12,2000,11
https://postagestamps.gov.in/Images/Stamps2000/07-12-2000-6.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: TEMPLE",3,7,12,2000,12
https://postagestamps.gov.in/Images/Stamps2000/16-11-2000.jpg,MAHARAJA BIJLI PASI,3,16,11,2000,13
https://postagestamps.gov.in/Images/Stamps2000/14-11-2000.jpg,CHILDREN'S DAY,3,14,11,2000,14
https://postagestamps.gov.in/Images/Stamps2000/17-10-2000.jpg,DR.SHANKER DAYAL SHARMA 1918-1999,3,17,10,2000,15
https://postagestamps.gov.in/Images/Stamps2000/16-10-2000.jpg,RAJ KUMAR SHUKLA,3,16,10,2000,16
https://postagestamps.gov.in/Images/Stamps2000/15-10-2000-2.jpg,MATHUBANI-MITHILA PAINTINGS,3,15,10,2000,17
https://postagestamps.gov.in/Images/Stamps2000/15-10-2000-3.jpg,MATHUBANI-MITHILA PAINTINGS,3,15,10,2000,18
https://postagestamps.gov.in/Images/Stamps2000/15-10-2000-4.jpg,MATHUBANI-MITHILA PAINTINGS,3,15,10,2000,19
https://postagestamps.gov.in/Images/Stamps2000/15-10-2000-1.jpg,MATHUBANI-MITHILA PAINTINGS (SE-TENANT),10,15,10,2000,20
https://postagestamps.gov.in/Images/Stamps2000/29-09-2000-2.jpg,INDIA IN SPACE: OCEANSAT-1,3,29,9,2000,21
https://postagestamps.gov.in/Images/Stamps2000/29-09-2000-1.jpg,INDIA IN SPACE: INSAT 3B IN ORBIT,3,29,9,2000,22
https://postagestamps.gov.in/Images/Stamps2000/29-09-2000.jpg,INDIA IN SPACE (SE-TENANT),3,29,9,2000,23
https://postagestamps.gov.in/Images/Stamps2000/17-09-2000-2.jpg,XXVII OLYMPICS,3,17,9,2000,24
https://postagestamps.gov.in/Images/Stamps2000/17-09-2000-1.jpg,XXVII OLYMPICS,6,17,9,2000,25
https://postagestamps.gov.in/Images/Stamps2000/17-09-2000-3.jpg,XXVII OLYMPICS,10,17,9,2000,26
https://postagestamps.gov.in/Images/Stamps2000/17-09-2000-4.jpg,XXVII OLYMPICS,15,17,9,2000,27
https://postagestamps.gov.in/Images/Stamps2000/26-08-2000.jpg,KODAIKANAL INTERNATIONAL SCHOOL CENTENARY,15,26,8,2000,28
https://postagestamps.gov.in/Images/Stamps2000/15-08-2000-1.jpg,GREAT LEADERS:SOCIAL AND POLITICAL: VIJAYA LAKSHMI PANDIT,3,15,8,2000,29
https://postagestamps.gov.in/Images/Stamps2000/15-08-2000-4.jpg,GREAT LEADERS:SOCIAL AND POLITICAL: R SRINIVASAN,3,15,8,2000,30
https://postagestamps.gov.in/Images/Stamps2000/15-08-2000-2.jpg,GREAT LEADERS:SOCIAL AND POLITICAL: JAGLAL CHOUDHARY,3,15,8,2000,31
https://postagestamps.gov.in/Images/Stamps2000/15-08-2000-3.jpg,GREAT LEADERS:SOCIAL AND POLITICAL: RADHA GOBINDA BARUAH,3,15,8,2000,32
https://postagestamps.gov.in/Images/Stamps2000/12-08-2000.jpg,"CHRISTIAN MEDICAL COLLEGE & HOSPITAL, VELLORE",3,12,8,2000,33
https://postagestamps.gov.in/Images/Stamps2000/26-06-2000.jpg,SWAMI SAHAJANAND SARASWATI,3,26,6,2000,34
https://postagestamps.gov.in/Images/Stamps2000/28-05-2000.jpg,N T RAMA RAO,3,28,5,2000,35
https://postagestamps.gov.in/Images/Stamps2000/24-05-2000-2.jpg,"MIGRATORY BIRDS, INDEPEX ASIANA-2000: ROSY PASTOR",3,24,5,2000,36
https://postagestamps.gov.in/Images/Stamps2000/24-05-2000-1.jpg,"MIGRATORY BIRDS, INDEPEX ASIANA-2000: GARGANEY TEAL",3,24,5,2000,37
https://postagestamps.gov.in/Images/Stamps2000/24-05-2000-3.jpg,"MIGRATORY BIRDS, INDEPEX ASIANA-2000: FOREST WAGTAIL",3,24,5,2000,38
