image,name of stamp,price,day,month,year,class
dataset/images\1.jpg,PERSONALITY SERIES:HISTORICAL: SAMRAT PRITHVIRAJ CHAUHAN,3,31,12,2000.0,1
dataset/images\2.jpg,PERSONALITY SERIES:HISTORICAL: RAJA BHAMASHAH,3,31,12,2000.0,2
dataset/images\3.jpg,PERSONALITY SERIES:HISTORICAL: RAJARSHI BHAGYACHANDRA,3,31,12,2000.0,3
dataset/images\4.jpg,PERSONALITY SERIES:HISTORICAL: GENERAL ZORAWAR SINGH,3,31,12,2000.0,4
dataset/images\5.jpg,USTAD HAFIZ ALI KHAN,3,28,12,2000.0,5
dataset/images\6.jpg,MARITIME HERITAGE: KUNJALI MARAKKAR-400 YEARS,3,17,12,2000.0,6
dataset/images\7.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: ANCIENT INDIA",3,7,12,2000.0,7
dataset/images\8.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: TAXILA",3,7,12,2000.0,8
dataset/images\9.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: SARPECH",3,7,12,2000.0,9
dataset/images\10.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: NAVRATNA",3,7,12,2000.0,10
dataset/images\11.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: BRIDAL",3,7,12,2000.0,11
dataset/images\12.jpg,"GEMS AND JEWELLERY, INDEPEX ASIANA-2000: TEMPLE",3,7,12,2000.0,12
dataset/images\13.jpg,MAHARAJA BIJLI PASI,3,16,11,2000.0,13
dataset/images\14.jpg,CHILDREN'S DAY,3,14,11,2000.0,14
dataset/images\15.jpg,DR.SHANKER DAYAL SHARMA 1918-1999,3,17,10,2000.0,15
dataset/images\16.jpg,RAJ KUMAR SHUKLA,3,16,10,2000.0,16
dataset/images\17.jpg,MATHUBANI-MITHILA PAINTINGS,3,15,10,2000.0,17
dataset/images\18.jpg,MATHUBANI-MITHILA PAINTINGS,3,15,10,2000.0,18
dataset/images\19.jpg,MATHUBANI-MITHILA PAINTINGS,3,15,10,2000.0,19
dataset/images\20.jpg,MATHUBANI-MITHILA PAINTINGS (SE-TENANT),10,15,10,2000.0,20
dataset/images\21.jpg,INDIA IN SPACE: OCEANSAT-1,3,29,9,2000.0,21
dataset/images\22.jpg,INDIA IN SPACE: INSAT 3B IN ORBIT,3,29,9,2000.0,22
dataset/images\23.jpg,INDIA IN SPACE (SE-TENANT),3,29,9,2000.0,23
dataset/images\24.jpg,XXVII OLYMPICS,3,17,9,2000.0,24
dataset/images\25.jpg,XXVII OLYMPICS,6,17,9,2000.0,25
dataset/images\26.jpg,XXVII OLYMPICS,10,17,9,2000.0,26
dataset/images\27.jpg,XXVII OLYMPICS,15,17,9,2000.0,27
dataset/images\28.jpg,KODAIKANAL INTERNATIONAL SCHOOL CENTENARY,15,26,8,2000.0,28
dataset/images\29.jpg,GREAT LEADERS:SOCIAL AND POLITICAL: VIJAYA LAKSHMI PANDIT,3,15,8,2000.0,29
dataset/images\30.jpg,GREAT LEADERS:SOCIAL AND POLITICAL: R SRINIVASAN,3,15,8,2000.0,30
dataset/images\31.jpg,GREAT LEADERS:SOCIAL AND POLITICAL: JAGLAL CHOUDHARY,3,15,8,2000.0,31
dataset/images\32.jpg,GREAT LEADERS:SOCIAL AND POLITICAL: RADHA GOBINDA BARUAH,3,15,8,2000.0,32
dataset/images\33.jpg,"CHRISTIAN MEDICAL COLLEGE & HOSPITAL, VELLORE",3,12,8,2000.0,33
dataset/images\34.jpg,SWAMI SAHAJANAND SARASWATI,3,26,6,2000.0,34
dataset/images\35.jpg,N T RAMA RAO,3,28,5,2000.0,35
dataset/images\36.jpg,"MIGRATORY BIRDS, INDEPEX ASIANA-2000: ROSY PASTOR",3,24,5,2000.0,36
dataset/images\37.jpg,"MIGRATORY BIRDS, INDEPEX ASIANA-2000: GARGANEY TEAL",3,24,5,2000.0,37
dataset/images\38.jpg,"MIGRATORY BIRDS, INDEPEX ASIANA-2000: FOREST WAGTAIL",3,24,5,2000.0,38
dataset/images\39.jpg,"MIGRATORY BIRDS, INDEPEX ASIANA-2000: WHITE STORK",3,24,5,2000.0,39
dataset/images\40.jpg,HUNDRED YEARS OF RAILWAYS IN DOON VALLEY,15,6,5,2000.0,40
dataset/images\41.jpg,INDIGENOUS BREEDS OF CATTLE: GIR,3,25,4,2000.0,41
dataset/images\42.jpg,INDIGENOUS BREEDS OF CATTLE: KANKREJ,3,25,4,2000.0,42
dataset/images\43.jpg,INDIGENOUS BREEDS OF CATTLE: KANGAYAM,3,25,4,2000.0,43
dataset/images\44.jpg,INDIGENOUS BREEDS OF CATTLE: HALLIKAR,15,25,4,2000.0,44
dataset/images\45.jpg,1875-2000 ARYA SAMAJ,3,5,4,2000.0,45
dataset/images\46.jpg,"NATURAL HERITAGE OF MANIPUR & TRIPURA, INDEPEX ASIANA-2000: SIROI LILY",3,31,3,2000.0,46
dataset/images\47.jpg,"NATURAL HERITAGE OF MANIPUR & TRIPURA, INDEPEX ASIANA-2000: SANGAI DEER",3,31,3,2000.0,47
dataset/images\48.jpg,"NATURAL HERITAGE OF MANIPUR & TRIPURA, INDEPEX ASIANA-2000: WILD GUAVA",3,31,3,2000.0,48
dataset/images\49.jpg,"NATURAL HERITAGE OF MANIPUR & TRIPURA, INDEPEX ASIANA-2000: SLOW LORIS",15,31,3,2000.0,49
dataset/images\50.jpg,BASAWON SINHA,3,23,3,2000.0,50
dataset/images\51.jpg,POTTI SRIRAMULU,3,16,3,2000.0,51
dataset/images\52.jpg,DR.BARGULA RAMAKRISHNA RAO,3,13,3,2000.0,52
dataset/images\53.jpg,PATNA MEDICAL COLLEGE 1925-2000,3,26,2,2000.0,53
dataset/images\54.jpg,PERSONALITIES:SOCIO-POLITICAL: BALWANTRAI MEHTA,3,17,2,2000.0,54
dataset/images\55.jpg,PERSONALITIES:SOCIO-POLITICAL: DR.HAREKRUSHNA MAHATAB,3,17,2,2000.0,55
dataset/images\56.jpg,PERSONALITIES:SOCIO-POLITICAL: ARUN KUMAR CHANDA,3,17,2,2000.0,56
dataset/images\57.jpg,MILLEPEX 2000-ENDANGERED SPECIES:TURTLES(SE-TENANT)-BATAGUR TERRAPIN & OLIVE RIDLEY TURTLE,3,29,1,2000.0,57
dataset/images\58.jpg,"50 YEARS OF THE REPUBLIC OF INDIA GALLANTRY AWARD WINNERS-KARAM SINGH, PVC & ABDUL HAMID, PVC",3,28,1,2000.0,58
dataset/images\59.jpg,"50 YEARS OF THE REPUBLIC OF INDIA GALLANTRY AWARD WINNERS-ALBERT EKKA, PVC, N J S SEKHON, PVC & M N MULLA, MVC",3,28,1,2000.0,59
dataset/images\60.jpg,MAHATMA GANDHI:FATHER OF THE NATION-50 YEARS OF THE REPUBLIC OF INDIA,3,27,1,2000.0,60
dataset/images\61.jpg,FIRST SUNRISE OF THE MILLENNIUM,3,1,1,2000.0,61
dataset/images\62.jpg,DEFENCE RESEARCH & DEVELOPMENT ORGANISATION - AGNI II,3,1,1,2000.0,62
dataset/images\63.jpg,5TH ASIAN GAMES 1966 HOCKEY CHAMPIONS,0.15,31,12,1966.0,63
dataset/images\64.jpg,FAMILY PLANNING WEEK 1966,0.15,12,12,1966.0,64
dataset/images\65.jpg,ALLAHABAD HIGH COURT 1866-1966,0.15,25,11,1966.0,65
dataset/images\66.jpg,CHILDREN'S DAY,0.15,14,11,1966.0,66
dataset/images\67.jpg,ABUL KALAM AZAD  1888-1958,0.15,11,11,1966.0,67
dataset/images\68.jpg,SWAMI RAMA TIRTHA,0.15,11,11,1966.0,68
dataset/images\69.jpg,HOMI BHABHA,0.15,4,8,1966.0,69
